X,Y,Movie
235.06181015452538,145.81898454746135,mid_1
333.7171314741036,155.09561752988049,mid_1
355.823677581864,175.13853904282115,mid_1
329.3862815884477,193.87725631768953,mid_1
247.93227091633466,207.90637450199202,mid_1
223.6166219839142,216.53887399463807,mid_1
143.96036585365854,219.4268292682927,mid_1
376.8243902439024,222.09268292682927,mid_1
184.78313253012047,239.0632530120482,mid_1
153.15107913669064,240.69064748201438,mid_1
216.37560975609756,244.65121951219513,mid_1
311.1672794117647,256.7959558823529,mid_1
486.47301587301587,257.415873015873,mid_1
234.93827160493828,260.80864197530866,mid_1
288.0695652173913,272.39130434782606,mid_1
194.61012658227847,275.52911392405065,mid_1
117.18274111675127,273.79695431472084,mid_1
218.23309608540924,283.30782918149464,mid_1
364.3294314381271,286.6170568561873,mid_1
169.42439024390245,294.4926829268293,mid_1
320.8372513562387,298.98915009041593,mid_1
262.21001615508885,309.91437802907916,mid_1
197.39446366782008,320.80276816608995,mid_1
287.938679245283,321.52830188679246,mid_1
473.61003236245955,330.5129449838188,mid_1
538.359375,319.25,mid_1
165.48458149779736,327.3678414096916,mid_1
381.87480916030535,331.4091603053435,mid_1
339.6992287917738,330.3907455012853,mid_1
130.4983388704319,334.66777408637876,mid_1
507.5016722408027,352.60535117056855,mid_1
255.57894736842104,355.44427244582045,mid_1
129.35593220338984,350.0,mid_1
542.8413793103448,354.8965517241379,mid_1
407.74607329842934,357.22513089005236,mid_1
349.88853503184714,363.5668789808917,mid_1
211.66206896551725,365.201724137931,mid_1
307.2588597842835,372.54237288135596,mid_1
445.1437802907916,371.08723747980616,mid_1
118.48970251716247,375.812356979405,mid_1
380.9953488372093,373.7604651162791,mid_1
279.61623616236164,379.2970479704797,mid_1
390.1787234042553,399.34255319148934,mid_1
346.3731931668857,424.6544021024967,mid_1
527.7483870967742,423.9129032258065,mid_1
435.51971326164875,422.55913978494624,mid_1
385.2291666666667,428.7348484848485,mid_1
503.0138888888889,461.21805555555557,mid_1
570.0806451612904,461.2016129032258,mid_1
391.38532110091745,471.5229357798165,mid_1
113.43683083511777,565.5738758029978,mid_1
92.89312977099236,579.3078880407124,mid_1
521.0443037974684,593.3291139240506,mid_1
212.39890710382514,3.5027322404371586,mid_3
164.75757575757575,11.573232323232324,mid_3
184.6235294117647,5.541176470588235,mid_3
222.12845849802372,21.438735177865613,mid_3
119.26774847870182,45.74442190669371,mid_3
178.37367624810892,50.895612708018156,mid_3
218.5923913043478,52.858695652173914,mid_3
287.80073800738006,52.452029520295206,mid_3
300.6321070234114,74.37123745819397,mid_3
188.58989898989898,82.61616161616162,mid_3
256.01114206128136,85.19220055710306,mid_3
221.15964523281596,92.36585365853658,mid_3
159.882703777336,94.49701789264414,mid_3
334.6725978647687,93.22064056939502,mid_3
112.32156862745099,95.87058823529412,mid_3
393.47669491525426,102.12711864406779,mid_3
311.03194888178916,113.38977635782747,mid_3
212.2686230248307,117.41986455981942,mid_3
275.54988399071925,125.06728538283063,mid_3
335.0,131.77987421383648,mid_3
109.28907922912205,154.27837259100642,mid_3
329.9688796680498,158.29253112033194,mid_3
262.6854961832061,181.96030534351146,mid_3
410.0057361376673,171.5793499043977,mid_3
169.29588014981275,171.81647940074907,mid_3
305.85260770975054,173.77551020408163,mid_3
386.2647058823529,177.45294117647057,mid_3
346.6702702702703,178.88378378378377,mid_3
391.2079772079772,203.13390313390315,mid_3
348.8348134991119,210.74067495559504,mid_3
136.07573149741825,217.07573149741825,mid_3
306.82084690553745,228.34527687296418,mid_3
354.29273504273505,236.95726495726495,mid_3
209.22781065088756,233.52366863905326,mid_3
142.6752688172043,248.46881720430108,mid_3
416.7154929577465,249.52957746478873,mid_3
333.20353982300884,252.7669616519174,mid_3
272.4842105263158,254.79473684210527,mid_3
453.01960784313724,267.1732026143791,mid_3
270.75,267.8007246376812,mid_3
224.21514629948365,275.5611015490534,mid_3
138.31578947368422,280.6390977443609,mid_3
171.40804597701148,276.7931034482759,mid_3
338.3471074380165,273.8512396694215,mid_3
393.3333333333333,294.72607260726073,mid_3
213.89792060491493,302.0283553875236,mid_3
327.5420054200542,304.81029810298105,mid_3
295.43707093821513,309.70480549199084,mid_3
349.2277992277992,306.4092664092664,mid_3
166.72093023255815,321.2046511627907,mid_3
251.76576576576576,319.59159159159157,mid_3
365.8452380952381,322.0238095238095,mid_3
251.68740740740742,340.7792592592593,mid_3
173.43065693430657,347.6861313868613,mid_3
341.3374613003096,351.5077399380805,mid_3
290.1868327402135,356.84875444839855,mid_3
115.12323232323233,357.189898989899,mid_3
377.44897959183675,354.3520408163265,mid_3
212.3984375,370.4127604166667,mid_3
405.8675373134328,376.57089552238807,mid_3
366.5,372.7183908045977,mid_3
251.04041916167665,386.9580838323353,mid_3
129.29272151898735,400.1487341772152,mid_3
161.91228070175438,412.02923976608184,mid_3
385.63178294573646,411.6860465116279,mid_3
360.39240506329116,412.41350210970467,mid_3
335.18333333333334,417.7733333333333,mid_3
193.61300309597524,424.015479876161,mid_3
466.9361179361179,422.002457002457,mid_3
337.46785714285716,431.5107142857143,mid_3
248.92808219178082,441.8082191780822,mid_3
278.0506072874494,446.30161943319837,mid_3
163.4090909090909,453.4191919191919,mid_3
322.4643628509719,453.5939524838013,mid_3
117.79390420899855,465.86647314949204,mid_3
194.2439393939394,470.91515151515154,mid_3
401.80385852090035,483.85852090032154,mid_3
334.656015037594,488.3063909774436,mid_3
196.4862385321101,495.77614678899084,mid_3
258.7018970189702,497.8211382113821,mid_3
286.0057471264368,500.35057471264366,mid_3
359.3707386363636,513.1647727272727,mid_3
174.6375,506.8875,mid_3
224.771484375,517.591796875,mid_3
126.96793002915452,515.5102040816327,mid_3
381.18013856812934,520.8475750577368,mid_3
167.8259109311741,525.2267206477733,mid_3
326.44849785407723,531.0987124463519,mid_3
245.85172981878088,552.0313014827018,mid_3
111.606,551.962,mid_3
185.62845849802372,549.5177865612649,mid_3
215.45631067961165,551.7742718446602,mid_3
135.58797327394208,561.7527839643652,mid_3
366.34335839599,563.2681704260651,mid_3
194.28046421663444,567.5261121856867,mid_3
286.1789264413519,575.2644135188867,mid_3
252.73740053050398,576.0053050397878,mid_3
159.61702127659575,581.5195035460993,mid_3
113.24048096192385,588.4569138276553,mid_3
328.9054054054054,592.5990990990991,mid_3
223.30645161290323,595.8870967741935,mid_3
148.6530612244898,597.795918367347,mid_3
